No. Subsets,Subsets,TP,TN,FP,FN,FPR,Standard Profile,Low FN Profile,Issue Tracker,Instant Messenger,Test Log,Avg.Alerts per day
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx avg}},22,25411,110,945,83.33333333333334,16.064126147326874,28.253277080674145,"[3, 12]","[6, 7, 8, 9, 14, 17]","[10, 11]",1.434782608695652
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg}},18,25473,48,949,72.72727272727273,17.884867655245316,24.20394685788285,[3],"[6, 7, 8, 9, 14, 17]",[],0.717391304347826
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx min}},18,25471,50,949,73.52941176470588,17.305920286824264,23.817981945602156,[3],"[6, 7, 8, 9, 14, 17]",[],0.7391304347826086
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx max}},24,25412,109,943,81.95488721804512,11.655147772545144,23.559572199240687,"[3, 12]","[0, 6, 7, 8, 9, 14, 17]",[],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx count}},32,25368,153,935,82.70270270270271,7.109018976769804,22.28320563363609,"[3, 12]","[6, 7, 8, 9, 14, 17]","[1, 11]",2.010869565217391
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx avg}},18,25432,89,949,83.17757009345794,11.706576528068268,21.839472071343803,"[3, 12]","[6, 7, 14, 17]","[10, 11]",1.1630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx avg}},17,25431,90,950,84.11214953271028,11.417102843857744,21.646489615203457,"[3, 12]","[6, 7, 14, 17]","[10, 11]",1.1630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx max}},30,25365,156,937,83.87096774193549,5.659750531205241,21.317026669926385,"[3, 12]","[6, 7, 8, 9, 14, 16, 17]",[4],2.0217391304347827
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx count}},29,25390,131,938,81.875,5.98504529952762,19.77950388389566,[12],"[6, 7, 8, 9, 14, 17]","[1, 11]",1.7391304347826086
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{5xx max}},26,25386,135,941,83.85093167701864,5.895480211425847,19.71979382516116,[12],"[6, 7, 8, 9, 14, 16, 17]",[4],1.75
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx count}},28,25389,132,939,82.5,5.695571615317095,19.58652142775531,[12],"[6, 7, 8, 9, 14, 17]","[1, 11]",1.7391304347826086
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{5xx max}},25,25385,136,942,84.472049689441,5.606006527215322,19.52681136902081,[12],"[6, 7, 8, 9, 14, 16, 17]",[4],1.75
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx avg}},22,25327,194,945,89.81481481481481,-0.408280348071353,19.026058715320936,"[3, 12]","[6, 7, 8, 9, 16, 17]","[4, 10, 11]",2.347826086956522
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx min}},24,25387,134,943,84.81012658227847,4.074433191016215,18.5057624782214,"[3, 12]","[0, 6, 7, 8, 9, 14, 17]",[],1.7173913043478262
2,\multirowcell{2}[0pt][l]{\texttt{4xx count} \\ \texttt{4xx max}},23,25349,172,944,88.2051282051282,0.8922388805787755,18.13868556950874,[12],"[0, 6, 7, 8, 9, 14, 17]","[1, 11]",2.119565217391304
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx max}},20,25434,87,947,81.30841121495327,7.956102518863732,17.584770100295138,[12],"[0, 6, 7, 8, 14, 17]",[],1.1630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx max}},19,25433,88,948,82.2429906542056,7.666628834653207,17.39178764415479,[12],"[0, 6, 7, 8, 14, 17]",[],1.1630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{4xx count} \\ \texttt{4xx avg}},23,25333,188,944,89.0995260663507,-2.771822322787683,15.695978100597774,"[3, 12]","[6, 7, 8, 9, 14]","[1, 10, 11]",2.2934782608695654
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{5xx min}},12,25503,18,955,60.0,10.750026914231055,14.18422846913649,[],"[6, 7, 14, 17]",[],0.32608695652173914
2,\multirowcell{2}[0pt][l]{\texttt{4xx count} \\ \texttt{4xx min}},24,25327,194,943,88.9908256880734,-5.2300660703270925,14.057148935571492,[12],"[0, 6, 7, 8, 9, 14, 17]","[1, 11]",2.369565217391304
2,\multirowcell{2}[0pt][l]{\texttt{4xx avg} \\ \texttt{4xx min}},14,25351,170,953,92.3913043478261,-3.198903563372562,13.656871308628894,"[3, 12]","[0, 7, 8, 14, 17]","[10, 11]",2.0
2,\multirowcell{2}[0pt][l]{\texttt{4xx avg} \\ \texttt{4xx max}},14,25377,144,953,91.13924050632912,-1.1580547993948318,13.26305118636842,"[3, 12]","[0, 7, 8, 17]","[10, 11]",1.7173913043478262
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx min}},20,25408,113,947,84.9624060150376,0.0859142531242833,12.337977923135492,[12],"[0, 6, 7, 8, 14, 17]",[],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx min}},19,25407,114,948,85.71428571428571,-0.2035594310862415,12.144995466995145,[12],"[0, 6, 7, 8, 14, 17]",[],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx count}},33,25286,235,934,87.68656716417911,-12.4551640724312,10.994802899081025,[12],"[6, 7, 8, 9, 14, 16, 17]","[1, 4, 11]",2.9130434782608696
2,\multirowcell{2}[0pt][l]{\texttt{4xx min} \\ \texttt{4xx max}},11,25414,107,956,90.67796610169492,-0.946302810104396,9.895447249404098,[12],"[0, 7, 8, 14, 17]",[],1.2826086956521738
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx min}},24,25303,218,943,90.08264462809917,-12.200685952116055,9.41006901437887,[12],"[0, 6, 7, 8, 9, 14, 16, 17]",[4],2.630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx max}},24,25329,192,943,88.88888888888889,-10.15831312914194,9.017264931449294,[12],"[0, 6, 7, 8, 9, 16, 17]",[4],2.347826086956522
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg} \\ \texttt{4xx avg}},24,25400,121,943,83.44827586206897,13.013658609217105,26.219632055267617,"[3, 12]","[6, 7, 8, 9, 14, 17]","[10, 11]",1.576086956521739
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx min} \\ \texttt{4xx avg}},24,25398,123,943,83.6734693877551,12.434711240796052,25.83366714298692,"[3, 12]","[6, 7, 8, 9, 14, 17]","[10, 11]",1.5978260869565217
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg} \\ \texttt{5xx min}},18,25470,51,949,73.91304347826086,17.01644660261374,23.624999489461803,[3],"[6, 7, 8, 9, 14, 17]",[],0.75
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg} \\ \texttt{4xx max}},26,25401,120,941,82.1917808219178,8.604680234435376,21.525927173834173,"[3, 12]","[0, 6, 7, 8, 9, 14, 17]",[],1.5869565217391304
