No. Subsets,Subsets,TP,TN,FP,FN,FPR,Standard Profile,Low FN Profile,Issue Tracker,Instant Messenger,Test Log,Avg.Alerts per day
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx avg}},19,25462,59,948,75.64102564102564,25.19334408685158,32.58503640877831,"[3, 12]","[6, 7, 8, 9, 14, 17]",[10],0.8478260869565217
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx avg}},15,25484,37,952,71.15384615384616,20.59864620289996,26.01313255631929,"[3, 12]","[6, 7, 14, 17]",[10],0.5652173913043478
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx avg}},14,25483,38,953,73.07692307692307,20.30917251868944,25.820150100178942,"[3, 12]","[6, 7, 14, 17]",[10],0.5652173913043478
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg}},18,25473,48,949,72.72727272727273,17.884867655245316,24.20394685788285,[3],"[6, 7, 8, 9, 14, 17]",[],0.717391304347826
2,\multirowcell{2}[0pt][l]{\texttt{4xx count} \\ \texttt{4xx avg}},17,25407,114,950,87.02290076335878,12.106299271372656,23.8603398651257,"[3, 12]","[6, 7, 8, 9, 14]","[1, 10]",1.423913043478261
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx min}},18,25471,50,949,73.52941176470588,17.305920286824264,23.817981945602156,[3],"[6, 7, 8, 9, 14, 17]",[],0.7391304347826086
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx max}},24,25412,109,943,81.95488721804512,11.655147772545144,23.559572199240687,"[3, 12]","[0, 6, 7, 8, 9, 14, 17]",[],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx avg}},19,25379,142,948,88.19875776397515,8.812121907152623,23.41860758722465,"[3, 12]","[6, 7, 8, 9, 16, 17]","[4, 10]",1.75
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx count}},29,25392,129,938,81.64556962025317,8.635162447391796,21.54624864913845,"[3, 12]","[6, 7, 8, 9, 14, 17]",[1],1.7173913043478262
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx max}},30,25365,156,937,83.87096774193549,5.659750531205241,21.317026669926385,"[3, 12]","[6, 7, 8, 9, 14, 16, 17]",[4],2.0217391304347827
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{5xx max}},26,25386,135,941,83.85093167701864,5.895480211425847,19.71979382516116,[12],"[6, 7, 8, 9, 14, 16, 17]",[4],1.75
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{5xx max}},25,25385,136,942,84.472049689441,5.606006527215322,19.52681136902081,[12],"[6, 7, 8, 9, 14, 16, 17]",[4],1.75
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx count}},26,25414,107,941,80.45112781954887,7.51118877014961,19.042546899398022,[12],"[6, 7, 8, 9, 14, 17]",[1],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx count}},25,25413,108,942,81.203007518797,7.221715085939086,18.849564443257677,[12],"[6, 7, 8, 9, 14, 17]",[1],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx min}},24,25387,134,943,84.81012658227847,4.074433191016215,18.5057624782214,"[3, 12]","[0, 6, 7, 8, 9, 14, 17]",[],1.7173913043478262
2,\multirowcell{2}[0pt][l]{\texttt{4xx avg} \\ \texttt{4xx min}},11,25401,120,956,91.6030534351145,5.44255132343036,17.66345526825188,"[3, 12]","[0, 7, 8, 14, 17]",[10],1.423913043478261
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx max}},20,25434,87,947,81.30841121495327,7.956102518863732,17.584770100295138,[12],"[0, 6, 7, 8, 14, 17]",[],1.1630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx max}},19,25433,88,948,82.2429906542056,7.666628834653207,17.39178764415479,[12],"[0, 6, 7, 8, 14, 17]",[],1.1630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{4xx avg} \\ \texttt{4xx max}},11,25427,94,956,89.52380952380953,7.483400087408108,17.26963514599141,"[3, 12]","[0, 7, 8, 17]",[10],1.141304347826087
2,\multirowcell{2}[0pt][l]{\texttt{4xx count} \\ \texttt{4xx max}},20,25372,149,947,88.16568047337277,2.21958425712668,17.269196522295037,[12],"[0, 6, 7, 8, 9, 14, 17]",[1],1.8369565217391304
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{5xx min}},12,25503,18,955,60.0,10.750026914231055,14.18422846913649,[],"[6, 7, 14, 17]",[],0.32608695652173914
2,\multirowcell{2}[0pt][l]{\texttt{4xx count} \\ \texttt{4xx min}},21,25350,171,946,89.0625,-3.902720693779197,13.187659888357793,[12],"[0, 6, 7, 8, 9, 14, 17]",[1],2.0869565217391304
2,\multirowcell{2}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx min}},20,25408,113,947,84.9624060150376,0.0859142531242833,12.337977923135492,[12],"[0, 6, 7, 8, 14, 17]",[],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx min}},19,25407,114,948,85.71428571428571,-0.2035594310862415,12.144995466995145,[12],"[0, 6, 7, 8, 14, 17]",[],1.4456521739130435
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx count}},30,25310,211,937,87.55186721991701,-10.255451424719425,10.706892032643267,[12],"[6, 7, 8, 9, 14, 16, 17]","[1, 4]",2.619565217391304
2,\multirowcell{2}[0pt][l]{\texttt{4xx min} \\ \texttt{4xx max}},11,25414,107,956,90.67796610169492,-0.946302810104396,9.895447249404098,[12],"[0, 7, 8, 14, 17]",[],1.2826086956521738
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx min}},24,25303,218,943,90.08264462809917,-12.200685952116055,9.41006901437887,[12],"[0, 6, 7, 8, 9, 14, 16, 17]",[4],2.630434782608696
2,\multirowcell{2}[0pt][l]{\texttt{5xx max} \\ \texttt{4xx max}},24,25329,192,943,88.88888888888889,-10.15831312914194,9.017264931449294,[12],"[0, 6, 7, 8, 9, 16, 17]",[4],2.347826086956522
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg} \\ \texttt{4xx avg}},21,25451,70,946,76.92307692307693,22.142876548741803,30.551391383371797,"[3, 12]","[6, 7, 8, 9, 14, 17]",[10],0.9891304347826086
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx min} \\ \texttt{4xx avg}},21,25449,72,946,77.41935483870968,21.56392918032076,30.16542647109109,"[3, 12]","[6, 7, 8, 9, 14, 17]",[10],1.0108695652173914
3,\multirowcell{3}[0pt][l]{\texttt{5xx avg} \\ \texttt{5xx max} \\ \texttt{4xx avg}},29,25364,157,938,84.40860215053763,9.680595246062278,25.751975778076694,"[3, 12]","[6, 7, 8, 9, 14, 16, 17]","[4, 10]",2.0217391304347827
3,\multirowcell{3}[0pt][l]{\texttt{5xx min} \\ \texttt{5xx max} \\ \texttt{4xx avg}},28,25363,158,939,84.94623655913979,9.391121561851753,25.55899332193635,"[3, 12]","[6, 7, 8, 9, 14, 16, 17]","[4, 10]",2.0217391304347827
3,\multirowcell{3}[0pt][l]{\texttt{5xx avg} \\ \texttt{5xx min} \\ \texttt{4xx avg}},15,25481,40,952,72.72727272727273,19.73022515026839,25.434185187898244,"[3, 12]","[6, 7, 14, 17]",[10],0.5978260869565217
3,\multirowcell{3}[0pt][l]{\texttt{5xx avg} \\ \texttt{4xx count} \\ \texttt{4xx avg}},29,25392,129,938,81.64556962025317,11.306198306003528,25.08132518645857,"[3, 12]","[6, 7, 8, 9, 14, 17]","[1, 10]",1.7173913043478262
3,\multirowcell{3}[0pt][l]{\texttt{5xx min} \\ \texttt{4xx count} \\ \texttt{4xx avg}},28,25391,130,939,82.27848101265823,11.016724621793005,24.88834273031822,"[3, 12]","[6, 7, 8, 9, 14, 17]","[1, 10]",1.7173913043478262
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{4xx avg} \\ \texttt{4xx max}},27,25390,131,940,82.91139240506328,10.716549405644445,24.68822591955253,"[3, 12]","[0, 6, 7, 8, 9, 14, 17]",[10],1.7173913043478262
3,\multirowcell{3}[0pt][l]{\texttt{5xx count} \\ \texttt{5xx avg} \\ \texttt{5xx min}},18,25470,51,949,73.91304347826086,17.01644660261374,23.624999489461803,[3],"[6, 7, 8, 9, 14, 17]",[],0.75
