Post-processing strategy,Subset,Model,Fill NaN,TP,TN,FP,FN,FPR,Standard Profile,Low FN Profile,Issue Tracker,Instant Messenger,Test Log
mahalanobis,\texttt{5xx min},GRU,zero,13,25428,93,954,87.73584905660378,-1.51205871156786,9.518276648428438,[13],"[6, 7, 8, 14, 17]",[]
mahalanobis,\texttt{5xx min},A3TGCN*,zero,8,25449,72,959,90.0,2.7295571111170096,10.591634565306082,[13],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{5xx min},A3TGCN,zero,6,25500,21,961,77.77777777777779,7.777208142788906,10.44796332326278,[],"[6, 7, 14]",[]
mahalanobis,\texttt{5xx max},GRU,median,15,25456,65,952,81.25,3.5865061840653887,11.162933947271668,[],"[6, 7, 14, 17]",[15]
mahalanobis,\texttt{5xx max},A3TGCN*,median,16,25431,90,951,84.90566037735849,-3.4560995640561405,6.4678634485239765,[],"[6, 7, 14, 17]",[15]
mahalanobis,\texttt{5xx max},A3TGCN,median,16,25431,90,951,84.90566037735849,-3.4560995640561405,6.4678634485239765,[],"[6, 7, 14, 17]",[15]
mahalanobis,\texttt{5xx count},GRU,zero,11,25505,16,956,59.25925925925925,10.763181572367875,14.19299824122771,[],"[6, 8, 14, 17]",[]
mahalanobis,\texttt{5xx count},A3TGCN*,zero,16,25484,37,951,69.81132075471697,20.935335193355083,26.23759188328937,[3],"[6, 7, 8, 9, 14, 17]",[]
mahalanobis,\texttt{5xx count},A3TGCN,zero,16,25457,64,951,80.0,8.93795687842322,16.48495370842249,"[3, 13]","[6, 7, 9, 17]",[]
mahalanobis,\texttt{5xx avg},GRU,mean,12,25506,15,955,55.55555555555556,11.618447966862632,14.76317583755754,[],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{5xx avg},A3TGCN*,mean,12,25480,41,955,77.35849056603774,4.24844557010386,9.849840906385015,[],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{5xx avg},A3TGCN,mean,12,25480,41,955,77.35849056603774,4.24844557010386,9.849840906385015,[],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{4xx min},GRU,zero,2,25496,25,965,92.5925925925926,-2.1730717739949057,0.3056714489156769,[],[7],[]
mahalanobis,\texttt{4xx min},A3TGCN*,zero,3,25497,24,964,88.88888888888889,-2.218881340068647,0.2751317381998494,[],[7],[]
mahalanobis,\texttt{4xx min},A3TGCN,zero,8,25449,72,959,90.0,-6.533515056114418,0.9074811906605506,[12],"[7, 8]",[]
mahalanobis,\texttt{4xx max},GRU,median,8,25449,72,959,90.0,3.699809111768048,11.238469232406764,[12],"[0, 7, 8, 17]",[]
mahalanobis,\texttt{4xx max},A3TGCN*,median,10,25425,96,957,90.56603773584906,-3.2440767889329494,6.609211965272753,[12],"[0, 7, 8, 17]",[]
mahalanobis,\texttt{4xx max},A3TGCN,median,10,25425,96,957,90.56603773584906,-3.2440767889329494,6.609211965272753,[12],"[0, 7, 8, 17]",[]
mahalanobis,\texttt{4xx count},GRU,mean,4,25498,23,963,85.18518518518519,11.624838511842375,14.767436200877384,[12],"[6, 7, 9]",[]
mahalanobis,\texttt{4xx count},A3TGCN*,mean,17,25405,116,950,87.21804511278195,6.785146264896744,18.55851856256278,[12],"[6, 7, 8, 9, 14]","[1, 11]"
mahalanobis,\texttt{4xx count},A3TGCN,mean,17,25405,116,950,87.21804511278195,6.785146264896744,18.55851856256278,[12],"[6, 7, 8, 9, 14]","[1, 11]"
mahalanobis,\texttt{4xx avg},GRU,mean,8,25423,98,959,92.45283018867924,-2.7805911832158032,6.918202369084195,[12],"[0, 7, 8, 17]",[]
mahalanobis,\texttt{4xx avg},A3TGCN*,mean,8,25423,98,959,92.45283018867924,-2.7805911832158032,6.918202369084195,[12],"[0, 7, 8, 17]",[]
mahalanobis,\texttt{4xx avg},A3TGCN,mean,8,25423,98,959,92.45283018867924,-2.7805911832158032,6.918202369084195,[12],"[0, 7, 8, 17]",[]
likelihood,\texttt{5xx min},GRU,zero,0,25499,22,967,100.0,-6.364076480673064,-4.242717653782043,[],[],[]
likelihood,\texttt{5xx min},A3TGCN*,zero,0,25499,22,967,100.0,-6.364076480673064,-4.242717653782043,[],[],[]
likelihood,\texttt{5xx min},A3TGCN,zero,0,25499,22,967,100.0,-6.364076480673064,-4.242717653782043,[],[],[]
likelihood,\texttt{5xx max},GRU,median,16,25401,120,951,88.23529411764706,5.027006872516191,17.386425634309095,[12],"[6, 7, 8, 9, 16, 17]",[4]
likelihood,\texttt{5xx max},A3TGCN*,median,16,25401,120,951,88.23529411764706,5.027006872516191,17.386425634309095,[12],"[6, 7, 8, 9, 16, 17]",[4]
likelihood,\texttt{5xx max},A3TGCN,median,16,25401,120,951,88.23529411764706,5.027006872516191,17.386425634309095,[12],"[6, 7, 8, 9, 16, 17]",[4]
likelihood,\texttt{5xx count},GRU,zero,6,25477,44,961,88.0,9.183981144302528,14.89458392076309,[12],"[6, 7, 8, 17]",[]
likelihood,\texttt{5xx count},A3TGCN*,zero,7,25469,52,960,88.13559322033898,11.380223954117396,18.11313175888528,[12],"[6, 7, 8, 9, 17]",[]
likelihood,\texttt{5xx count},A3TGCN,zero,6,25478,43,961,87.75510204081633,9.473454828513052,15.08756637690344,[12],"[6, 7, 8, 17]",[]
likelihood,\texttt{5xx avg},GRU,mean,5,25456,65,962,92.85714285714286,-1.4946571227801748,6.0211057777956665,[],"[6, 7, 8, 17]",[]
likelihood,\texttt{5xx avg},A3TGCN*,mean,5,25456,65,962,92.85714285714286,-1.4946571227801748,6.0211057777956665,[],"[6, 7, 8, 17]",[]
likelihood,\texttt{5xx avg},A3TGCN,mean,5,25456,65,962,92.85714285714286,-1.4946571227801748,6.0211057777956665,[],"[6, 7, 8, 17]",[]
likelihood,\texttt{4xx min},GRU,zero,6,25407,114,961,95.0,-5.52601427354098,6.842306273779697,"[3, 13]","[6, 7]","[10, 11]"
likelihood,\texttt{4xx min},A3TGCN*,zero,6,25407,114,961,95.0,-5.52601427354098,6.842306273779697,"[3, 13]","[6, 7]","[10, 11]"
likelihood,\texttt{4xx min},A3TGCN,zero,6,25407,114,961,95.0,-5.52601427354098,6.842306273779697,"[3, 13]","[6, 7]","[10, 11]"
likelihood,\texttt{4xx max},GRU,median,2,25446,75,965,97.40259740259741,-10.84154639972279,-3.7189256699906186,[],"[8, 17]",[]
likelihood,\texttt{4xx max},A3TGCN*,median,2,25446,75,965,97.40259740259741,-10.84154639972279,-3.7189256699906186,[],"[8, 17]",[]
likelihood,\texttt{4xx max},A3TGCN,median,2,25446,75,965,97.40259740259741,-10.84154639972279,-3.7189256699906186,[],"[8, 17]",[]
likelihood,\texttt{4xx count},GRU,mean,2,25497,24,965,92.3076923076923,2.0753445797284256,4.892334982976839,[],"[7, 17]",[]
likelihood,\texttt{4xx count},A3TGCN*,mean,2,25497,24,965,92.3076923076923,2.0753445797284256,4.892334982976839,[],"[7, 17]",[]
likelihood,\texttt{4xx count},A3TGCN,mean,2,25498,23,965,92.0,2.3648182639389503,5.085317439117189,[],"[7, 17]",[]
likelihood,\texttt{4xx avg},GRU,mean,6,25447,74,961,92.5,3.9766330563567913,11.423018528799275,"[3, 12]",[7],"[10, 11]"
likelihood,\texttt{4xx avg},A3TGCN*,mean,6,25447,74,961,92.5,3.9766330563567913,11.423018528799275,"[3, 12]",[7],"[10, 11]"
likelihood,\texttt{4xx avg},A3TGCN,mean,6,25447,74,961,92.5,3.9766330563567913,11.423018528799275,"[3, 12]",[7],"[10, 11]"
