Post-processing strategy,Subset,Model,Fill NaN,TP,TN,FP,FN,FPR,Standard Profile,Low FN Profile,Issue Tracker,Instant Messenger,Test Log
mahalanobis,\texttt{5xx min},GRU,zero,3,25497,24,964,88.88888888888889,6.239093503954507,9.422553564039848,[13],"[7, 17]",[]
mahalanobis,\texttt{5xx min},A3TGCN*,zero,4,25498,23,963,85.18518518518519,6.923385041844582,9.878747922633224,[],"[6, 7, 14]",[]
mahalanobis,\texttt{5xx min},A3TGCN,zero,6,25500,21,961,77.77777777777779,7.777208142788906,10.44796332326278,[],"[6, 7, 14]",[]
mahalanobis,\texttt{5xx max},GRU,median,9,25503,18,958,66.66666666666666,6.519828777903894,9.609710413339435,[],"[6, 7, 17]",[]
mahalanobis,\texttt{5xx max},A3TGCN*,median,8,25476,45,959,84.90566037735849,-1.1758543044443197,4.479255025107284,[],"[6, 7, 17]",[]
mahalanobis,\texttt{5xx max},A3TGCN,median,7,25475,46,960,86.79245283018868,-1.4467018073589006,4.298690023164242,[],"[6, 7, 17]",[]
mahalanobis,\texttt{5xx count},GRU,zero,11,25505,16,956,59.25925925925925,10.763181572367875,14.19299824122771,[],"[6, 8, 14, 17]",[]
mahalanobis,\texttt{5xx count},A3TGCN*,zero,16,25484,37,951,69.81132075471697,20.935335193355083,26.23759188328937,[3],"[6, 7, 8, 9, 14, 17]",[]
mahalanobis,\texttt{5xx count},A3TGCN,zero,16,25457,64,951,80.0,8.93795687842322,16.48495370842249,"[3, 13]","[6, 7, 9, 17]",[]
mahalanobis,\texttt{5xx avg},GRU,mean,12,25506,15,955,55.55555555555556,11.618447966862632,14.76317583755754,[],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{5xx avg},A3TGCN*,mean,12,25480,41,955,77.35849056603774,4.24844557010386,9.849840906385015,[],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{5xx avg},A3TGCN,mean,12,25480,41,955,77.35849056603774,4.24844557010386,9.849840906385015,[],"[6, 7, 14, 17]",[]
mahalanobis,\texttt{4xx min},GRU,zero,2,25496,25,965,92.5925925925926,-2.1730717739949057,0.3056714489156769,[],[7],[]
mahalanobis,\texttt{4xx min},A3TGCN*,zero,3,25497,24,964,88.88888888888889,-2.218881340068647,0.2751317381998494,[],[7],[]
mahalanobis,\texttt{4xx min},A3TGCN,zero,3,25497,24,964,88.88888888888889,-1.8879399419010985,0.4957593369782213,[],[7],[]
mahalanobis,\texttt{4xx max},GRU,median,8,25449,72,959,90.0,3.699809111768048,11.238469232406764,[12],"[0, 7, 8, 17]",[]
mahalanobis,\texttt{4xx max},A3TGCN*,median,2,25496,25,965,92.5925925925926,2.965189139214427,5.4855646893008405,[],"[7, 17]",[]
mahalanobis,\texttt{4xx max},A3TGCN,median,3,25471,50,964,94.33962264150944,0.669067908024439,5.709203166753122,[12],"[7, 17]",[]
mahalanobis,\texttt{4xx count},GRU,mean,4,25498,23,963,85.18518518518519,11.624838511842375,14.767436200877384,[12],"[6, 7, 9]",[]
mahalanobis,\texttt{4xx count},A3TGCN*,mean,14,25429,92,953,86.79245283018868,8.311289735518749,17.821561578065154,[12],"[6, 7, 8, 9, 14]",[1]
mahalanobis,\texttt{4xx count},A3TGCN,mean,14,25429,92,953,86.79245283018868,8.525424681332364,17.96431820860756,[12],"[6, 7, 8, 9, 14]",[1]
mahalanobis,\texttt{4xx avg},GRU,mean,3,25471,50,964,94.33962264150944,0.7551135447558085,5.766566924574023,[12],"[0, 17]",[]
mahalanobis,\texttt{4xx avg},A3TGCN*,mean,1,25495,26,966,96.29629629629629,-2.570827732613299,0.0405008098367357,[12],[],[]
mahalanobis,\texttt{4xx avg},A3TGCN,mean,1,25495,26,966,96.29629629629629,-2.384361424341258,0.1648116820181088,[],[17],[]
likelihood,\texttt{5xx min},GRU,zero,0,25499,22,967,100.0,-6.364076480673064,-4.242717653782043,[],[],[]
likelihood,\texttt{5xx min},A3TGCN*,zero,0,25499,22,967,100.0,-6.364076480673064,-4.242717653782043,[],[],[]
likelihood,\texttt{5xx min},A3TGCN,zero,0,25499,22,967,100.0,-6.364076480673064,-4.242717653782043,[],[],[]
likelihood,\texttt{5xx max},GRU,median,16,25401,120,951,88.23529411764706,5.027006872516191,17.386425634309095,[12],"[6, 7, 8, 9, 16, 17]",[4]
likelihood,\texttt{5xx max},A3TGCN*,median,16,25401,120,951,88.23529411764706,5.027006872516191,17.386425634309095,[12],"[6, 7, 8, 9, 16, 17]",[4]
likelihood,\texttt{5xx max},A3TGCN,median,16,25401,120,951,88.23529411764706,5.027006872516191,17.386425634309095,[12],"[6, 7, 8, 9, 16, 17]",[4]
likelihood,\texttt{5xx count},GRU,zero,6,25477,44,961,88.0,9.183981144302528,14.89458392076309,[12],"[6, 7, 8, 17]",[]
likelihood,\texttt{5xx count},A3TGCN*,zero,7,25469,52,960,88.13559322033898,11.380223954117396,18.11313175888528,[12],"[6, 7, 8, 9, 17]",[]
likelihood,\texttt{5xx count},A3TGCN,zero,6,25478,43,961,87.75510204081633,9.473454828513052,15.08756637690344,[12],"[6, 7, 8, 17]",[]
likelihood,\texttt{5xx avg},GRU,mean,2,25488,33,965,94.28571428571428,-0.8898306585430741,2.915551490795852,[],"[8, 17]",[]
likelihood,\texttt{5xx avg},A3TGCN*,mean,2,25488,33,965,94.28571428571428,-0.8898306585430741,2.915551490795852,[],"[8, 17]",[]
likelihood,\texttt{5xx avg},A3TGCN,mean,2,25488,33,965,94.28571428571428,-0.8898306585430741,2.915551490795852,[],"[8, 17]",[]
likelihood,\texttt{4xx min},GRU,zero,6,25407,114,961,95.0,-5.52601427354098,6.842306273779697,"[3, 13]","[6, 7]","[10, 11]"
likelihood,\texttt{4xx min},A3TGCN*,zero,6,25407,114,961,95.0,-5.52601427354098,6.842306273779697,"[3, 13]","[6, 7]","[10, 11]"
likelihood,\texttt{4xx min},A3TGCN,zero,6,25407,114,961,95.0,-5.52601427354098,6.842306273779697,"[3, 13]","[6, 7]","[10, 11]"
likelihood,\texttt{4xx max},GRU,median,0,25500,21,967,100.0,-6.078930570707093,-4.052620380471395,[],[],[]
likelihood,\texttt{4xx max},A3TGCN*,median,0,25500,21,967,100.0,-6.078930570707093,-4.052620380471395,[],[],[]
likelihood,\texttt{4xx max},A3TGCN,median,0,25500,21,967,100.0,-6.078930570707093,-4.052620380471395,[],[],[]
likelihood,\texttt{4xx count},GRU,mean,2,25497,24,965,92.3076923076923,2.0753445797284256,4.892334982976839,[],"[7, 17]",[]
likelihood,\texttt{4xx count},A3TGCN*,mean,2,25497,24,965,92.3076923076923,2.0753445797284256,4.892334982976839,[],"[7, 17]",[]
likelihood,\texttt{4xx count},A3TGCN,mean,2,25498,23,965,92.0,2.3648182639389503,5.085317439117189,[],"[7, 17]",[]
likelihood,\texttt{4xx avg},GRU,mean,3,25499,22,964,88.0,8.980198236037348,11.249956718761752,"[3, 12]",[],[10]
likelihood,\texttt{4xx avg},A3TGCN*,mean,3,25499,22,964,88.0,8.980198236037348,11.249956718761752,"[3, 12]",[],[10]
